property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
74028,-37.850086,145.29994,8 Shalimar Crescent,BORONIA, TOWONG ,19869,1.789128776115868,44,1,0,0,0,0
80896,-37.997852,145.19913,173 Kirkham Road,DANDENONG, CARDINIA ,19888,1.2785610913964547,46,1,25,10,5,3
92984,-37.98267,145.07237,212 Nepean Highway,PARKDALE, STONNINGTON ,19865,0.6385535424885507,43,1,19,4,3,1
121,-37.79622,144.88533,1/13 Essex Street,FOOTSCRAY, WHITTLESEA ,20023,0.6222440737861463,15,1,152,69,45,23
68415,-37.850918,145.02003,26 Derby Street,ARMADALE, BRIMBANK ,19946,0.5387025083290453,14,1,77,34,21,12
67763,-37.7705,145.35379,9 Rockys Way,LILYDALE, FRANKSTON ,19876,1.751523766557789,51,1,3,3,2,1
42989,-37.719917,145.10602,23 Amaroo Way,YALLAMBIE, MAROONDAH ,19986,1.4583914691736024,48,1,23,3,2,1
61171,-37.79161,145.24742,11 Harwick Close,RINGWOOD, MACEDON RANGES ,19879,2.279174441090651,38,1,1,1,1,0
21801,-37.74591,144.94751,11 Bruce Street,COBURG, MOONEE VALLEY ,19965,1.4485615824090496,23,1,41,17,12,6
92380,-37.98008,145.06024,60B Collins Street,MENTONE, WEST WIMMERA ,19865,0.4755940161767674,43,1,0,0,0,0
34283,-37.72534,144.98744,21 Corben Street,RESERVOIR, EAST GIPPSLAND ,20011,1.3921183268194115,37,1,1,0,0,0
3640,-37.818493,144.89557,5 York Street,YARRAVILLE, MITCHELL ,20024,1.8158615462275556,13,1,14,5,3,1
48872,-37.809288,145.10114,1 Shrimpton Court,BALWYN, HOBSONS BAY ,19896,1.1929403010808552,25,1,20,14,15,10
32289,-37.73475,145.02884,21 Laurel Street,PRESTON, BOROONDARA ,20011,2.401145890336297,37,1,12,3,2,1
40864,-37.71267,145.03464,56 The Fairway,KINGSBURY, ALPINE ,20009,2.275131880611824,41,1,0,0,0,0
54369,-37.81578,145.04172,3 Haines Street,HAWTHORN, YARRA ,19904,0.7849319638654546,12,1,15,7,5,3
21404,-37.773075,144.96928,6 Horne Street,BRUNSWICK, MARIBYRNONG ,19969,0.9538366602817624,15,1,22,7,5,3
67793,-37.756832,145.37085,"Lot 2a,61 Mangans Road",LILYDALE, FRANKSTON ,19876,2.041743047247703,51,1,3,3,2,1
8409,-37.749554,144.74977,3 Tarcoola Drive,BURNSIDE, MOYNE ,20002,4.456335020698816,28,1,0,0,0,0
75481,-37.904816,145.05544,8 Tara Grove,CARNEGIE, MELBOURNE ,19941,1.4011086073656993,27,1,23,11,8,5
9501,-37.854183,144.72455,36 Ronald Road,TRUGANINA, CENTRAL GOLDFIELDS ,20021,12.005838158991764,20,1,0,0,0,0
83762,-37.849987,144.99922,25 Murray Street,PRAHRAN, BOROONDARA ,19947,0.6532334582213829,12,1,12,3,2,1
7163,-37.734196,144.82054,10 Denham Court,KEALBA, BASS COAST ,20002,2.15947446182756,28,1,0,0,0,0
14523,-37.75333,144.88268,489 Buckley Street,ESSENDON WEST, MONASH ,20037,2.96541879097118,16,1,16,4,3,2
36973,-37.644238,145.04803,19 Merrill Drive,EPPING, FRANKSTON ,45795,1.7617982232575162,54,1,3,3,2,1
61867,-37.8208,145.22237,37 Barkly Street,RINGWOOD, MACEDON RANGES ,19902,0.797692590470751,35,1,1,1,1,0
84651,-37.875942,144.9904,14 Mason Avenue,ELWOOD, MORELAND ,19945,3.3417730584054293,16,1,111,50,47,25
31650,-37.743664,144.9818,1/39 Mount Pleasant Road,PRESTON, BOROONDARA ,20013,1.6297642197476208,33,1,12,3,2,1
26811,-37.57441,144.9304,4 Lilac Close,CRAIGIEBURN, YARRA RANGES ,40221,3.256692131204295,41,1,5,3,2,1
43114,-37.71955,145.05768,36 Heritage Court,MACLEOD, WANGARATTA ,19983,1.239515025943452,39,1,0,0,0,0
39324,-37.69729,145.04951,1 Willanjie Court,BUNDOORA, WODONGA ,20008,3.3255002264105413,44,1,3,0,0,0
41255,-37.70138,145.0593,9 Doidge St,BUNDOORA, WODONGA ,19984,2.406485297037955,42,1,3,0,0,0
95007,-37.927086,145.03796,19 Ardwick Street,BENTLEIGH, HOBSONS BAY ,19938,0.3072925828547094,32,1,20,14,15,10
61048,-37.817417,145.23456,1/13 Thomas Street,RINGWOOD, MACEDON RANGES ,19902,0.5202362763613834,35,1,1,1,1,0
67338,-37.755104,145.34195,3/14 Albert Hill Road,LILYDALE, FRANKSTON ,19876,0.5090987779214171,51,1,3,3,2,1
